e 	15454487
 t	13180277
th	10712957
 a	10460411
s 	9678057
he	8729312
in	8166065
t 	7842794
d 	7379800
an	6560562
er	6377359
n 	6338958
 i	6307986
re	6028056
 s	5918414
 o	5567822
on	5209590
r 	5093600
 w	5009481
 c	4546806
at	4541673
y 	4444966
or	4383020
nd	4375566
en	4221556
, 	4160067
es	4151443
o 	4075905
to	4023341
ou	4014020
 b	3936876
ng	3833984
it	3782833
te	3704629
 f	3673844
ti	3646860
st	3626247
ar	3571115
 p	3532914
 m	3392967
 h	3344475
al	3338511
is	3317562
ed	3311787
ha	3224018
nt	3098917
ve	2978051
g 	2959772
. 	2940186
le	2889585
se	2889026
f 	2770263
as	2734898
 d	2713414
ea	2666069
a 	2661126
of	2642450
me	2613323
l 	2606497
co	2467968
ll	2415454
ro	2400060
ne	2375571
 r	2346378
de	2314276
hi	2293659
 l	2197984
 e	2158058
ri	2128564
li	2057791
h 	2041590
ur	2034745
io	2013924
ra	1958984
ic	1939154
ce	1908329
om	1886285
ca	1883142
be	1872423
ma	1837072
ch	1816180
fo	1780979
 n	1772126
el	1750309
si	1748811
ho	1725609
il	1716498
ta	1698791
 y	1662583
us	1647473
 g	1637609
la	1596352
wi	1561719
et	1541814
ut	1529392
ac	1525089
yo	1519710
pe	1504710
ec	1478209
lo	1457994
rs	1454610
so	1445417
ns	1440449
di	1438068
ly	1409618
ot	1408514
pr	1387956
ee	1387152
ge	1350691
no	1314939
un	1297666
wa	1274791
we	1273944
ct	1261634
ow	1259784
tr	1254068
ss	1209209
m 	1202538
ts	1199863
wh	1187393
ad	1186616
rt	1167994
mo	1148226
 u	1145756
ie	1129885
nc	1123506
ol	1103463
em	1090822
ke	1077238
ai	1071288
id	1058421
sh	1057738
pa	1049674
pl	1040711
am	1038228
ul	1029675
ni	1019538
na	1018920
ay	1018363
ir	1010536
po	1008809
fi	999297
oo	983841
im	949032
mi	947271
vi	939278
os	921491
ig	903793
s.	896712
su	890753
i 	882900
ev	877214
k 	869809
s,	860418
av	849801
ld	847304
iv	841649
wo	839971
do	832263
u 	831175
gh	815771
fe	805986
op	802943
ab	791568
w 	788466
ry	772514
bo	772027
sa	757268
bu	756993
mp	755481
tu	745719
bl	741506
if	733347
ia	730240
ci	720418
e.	700981
fr	695954
ag	687503
da	674580
ov	671622
p 	671014
ck	666255
ty	659592
 v	653174
od	648637
ex	642359
ba	642076
ap	628123
sp	627092
e,	623597
tt	620626
gr	601354
rd	599393
ls	562620
ey	556856
go	554958
up	549777
's	549460
cl	549210
ei	544937
uc	537621
cr	526105
ff	522484
ak	520347
fa	515512
ki	512163
 j	511951
pp	504414
ep	500972
cu	496617
 k	493968
ga	490824
gi	487394
oc	479688
sc	470670
rn	466495
ht	466311
rm	464562
pi	452306
ds	451876
ef	451626
ew	448445
ue	440608
du	435749
au	433912
0 	430657
lu	429526
ug	427234
t.	421719
rk	421166
ye	418449
qu	415697
 9	407334
ny	407022
ru	396865
um	394827
bi	392426
br	384406
by	381634
va	379606
c 	377526
ua	377001
lt	376063
 1	371667
ui	363757
t,	360202
ys	359371
mu	356566
eg	354204
fu	351046
oi	349180
rr	346973
n'	340498
 '	340200
dr	339911
y,	339738
ip	337517
't	337181
ok	333283
rc	332800
d.	330202
ud	329561
tl	324451
n.	321446
' 	320853
n,	319417
pu	319159
; 	313440
og	312009
mm	308714
ft	304185
my	303995
 2	299281
- 	297600
y.	296629
nn	295751
af	292196
r,	289321
ju	288051
rg	287456
wn	285007
d,	284594
ob	281631
hr	278159
r.	277244
mb	269581
nk	268519
pt	267309
ms	266493
gu	265683
eo	265145
ik	265032
nu	263336
rl	261012
tw	254867
oa	254172
ks	251519
cc	243416
ib	242611
ph	238867
nl	231677
ub	226701
00	222474
xp	216021
rv	214598
fl	212535
ps	211308
gn	209438
gs	208241
nf	206315
t'	201510
